key,title,venue,year,official,source
wang2025vlrethinker,VL-Rethinker: Incentivizing Self-Reflection of Vision-Language Models with Reinforcement Learning,NeurIPS,2025,True,openreview
Liu2026failure,From Failure to Feedback: Group Revision Unlocks Hard Cases in Object-Level Grounding,CVPR,2026,True,meta
huang-etal-2024-queryagent,QueryAgent: A Reliable and Efficient Reasoning Framework with Environmental Feedback based Self-Correction,ACL,2024,True,acl_anthology
li2025testtime,Test-Time Preference Optimization: On-the-Fly Alignment via Iterative Textual Feedback,ICML,2025,True,openreview
guo2025seagent,SE-Agent: Self-Evolution Trajectory Optimization in Multi-Step Reasoning with LLM-Based Agents,NeurIPS,2025,True,openreview
wu-etal-2024-large,Large Language Models Can Self-Correct with Key Condition Verification,EMNLP,2024,True,acl_anthology
du2025afterburner,Afterburner: Reinforcement Learning Facilitates Self-Improving Code Efficiency Optimization,NeurIPS,2025,True,openreview
dai2026group,Group Verification-based Policy Optimization for Interactive Coding Agents,ICLR,2026,True,openreview
brooks2023large,Large Language Models can Implement Policy Iteration,NeurIPS,2023,True,openreview
park2026posttraining,Post-Training LLMs as Better Decision-Making Agents: A Regret-Minimization Approach,ICML,2026,True,openreview
chai2026evolvenav,EvolveNav: Proactive Preflection and Self-Evolving Memory for Zero-Shot Object Goal Navigation,arXiv,2026,True,https://arxiv.org/bibtex/2606.18235
zhang2026genesis,Genesis: Evolving Attack Strategies for LLM Web Agent Red-Teaming,arXiv,2026,True,https://arxiv.org/bibtex/2510.18314
zhang2025persona,Enhancing Jailbreak Attacks on LLMs via Persona Prompts,arXiv,2026,True,https://arxiv.org/bibtex/2507.22171
lan2024llm,LLM-Based Agent Society Investigation: Collaboration and Confrontation in Avalon Gameplay,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,2024,True,https://aclanthology.org/2024.emnlp-main.7.bib
zhang2025multimind,MultiMind: Enhancing Werewolf Agents with Multimodal Reasoning and Theory of Mind,Proceedings of the 33rd ACM International Conference on Multimedia,2025,True,https://api.crossref.org/works/10.1145/3746027.3755752/transform/application/x-bibtex
zhang2025dvm,DVM: Towards Controllable LLM Agents in Social Deduction Games,"ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2025,True,https://api.crossref.org/works/10.1109/ICASSP49660.2025.10888525/transform/application/x-bibtex
zhang2026selfharness,Self-Harness: Harnesses That Improve Themselves,arXiv,2026,True,https://arxiv.org/bibtex/2606.09498
